============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-100
Total params:     5,917,092
Trainable params: 5,917,092
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov=True)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(8)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     79.67%
============================================

--- Epoch-by-epoch log ---
Epoch 119 | train_loss=1.90375 train_acc=64.50% | val_loss=1.84722 val_acc=66.10%
Epoch 120 | train_loss=1.87965 train_acc=65.22% | val_loss=1.81300 val_acc=67.20%
Epoch 121 | train_loss=1.88491 train_acc=65.11% | val_loss=1.80975 val_acc=67.80%
Epoch 122 | train_loss=1.86772 train_acc=65.65% | val_loss=1.85407 val_acc=66.41%
Epoch 123 | train_loss=1.86028 train_acc=66.09% | val_loss=1.78835 val_acc=67.40%
Epoch 124 | train_loss=1.86326 train_acc=65.75% | val_loss=1.88193 val_acc=65.06%
Epoch 125 | train_loss=1.84851 train_acc=66.24% | val_loss=1.88379 val_acc=65.45%
Epoch 126 | train_loss=1.84114 train_acc=66.45% | val_loss=1.81845 val_acc=66.97%
Epoch 127 | train_loss=1.82867 train_acc=66.99% | val_loss=1.86153 val_acc=65.54%
Epoch 128 | train_loss=1.82186 train_acc=67.30% | val_loss=1.80879 val_acc=67.21%
Epoch 129 | train_loss=1.81859 train_acc=67.24% | val_loss=1.73351 val_acc=69.89%
Epoch 130 | train_loss=1.81024 train_acc=67.47% | val_loss=1.83525 val_acc=67.07%
Epoch 131 | train_loss=1.79803 train_acc=67.79% | val_loss=1.78273 val_acc=68.04%
Epoch 132 | train_loss=1.79514 train_acc=68.09% | val_loss=1.78922 val_acc=68.33%
Epoch 133 | train_loss=1.78337 train_acc=68.33% | val_loss=1.77170 val_acc=68.78%
Epoch 134 | train_loss=1.76887 train_acc=68.80% | val_loss=1.73657 val_acc=69.69%
Epoch 135 | train_loss=1.74979 train_acc=69.19% | val_loss=1.75863 val_acc=68.99%
Epoch 136 | train_loss=1.74796 train_acc=69.29% | val_loss=1.76113 val_acc=68.90%
Epoch 137 | train_loss=1.73533 train_acc=69.70% | val_loss=1.85056 val_acc=66.43%
Epoch 138 | train_loss=1.73762 train_acc=69.82% | val_loss=1.68556 val_acc=70.86%
Epoch 139 | train_loss=1.71964 train_acc=70.33% | val_loss=1.80063 val_acc=68.04%
Epoch 140 | train_loss=1.70694 train_acc=70.70% | val_loss=1.73211 val_acc=69.65%
Epoch 141 | train_loss=1.70413 train_acc=70.89% | val_loss=1.73281 val_acc=69.99%
Epoch 142 | train_loss=1.68866 train_acc=71.37% | val_loss=1.74790 val_acc=69.03%
Epoch 143 | train_loss=1.68194 train_acc=71.68% | val_loss=1.70346 val_acc=70.86%
Epoch 144 | train_loss=1.67024 train_acc=71.83% | val_loss=1.65758 val_acc=71.96%
Epoch 145 | train_loss=1.66515 train_acc=71.99% | val_loss=1.69643 val_acc=71.27%
Epoch 146 | train_loss=1.65277 train_acc=72.54% | val_loss=1.67355 val_acc=71.11%
Epoch 147 | train_loss=1.63917 train_acc=72.85% | val_loss=1.66323 val_acc=71.81%
Epoch 148 | train_loss=1.62749 train_acc=73.13% | val_loss=1.66043 val_acc=71.90%
Epoch 149 | train_loss=1.61574 train_acc=73.67% | val_loss=1.67088 val_acc=72.39%
Epoch 150 | train_loss=1.59951 train_acc=74.23% | val_loss=1.63587 val_acc=73.23%
Epoch 151 | train_loss=1.59597 train_acc=74.23% | val_loss=1.64451 val_acc=72.62%
Epoch 152 | train_loss=1.58642 train_acc=74.63% | val_loss=1.63442 val_acc=73.57%
Epoch 153 | train_loss=1.57231 train_acc=75.19% | val_loss=1.64435 val_acc=72.71%
Epoch 154 | train_loss=1.55829 train_acc=75.69% | val_loss=1.64188 val_acc=72.98%
Epoch 155 | train_loss=1.54783 train_acc=75.75% | val_loss=1.63570 val_acc=72.89%
Epoch 156 | train_loss=1.53758 train_acc=76.30% | val_loss=1.61932 val_acc=73.34%
Epoch 157 | train_loss=1.52748 train_acc=76.62% | val_loss=1.58470 val_acc=74.48%
Epoch 158 | train_loss=1.52100 train_acc=76.88% | val_loss=1.59222 val_acc=74.67%
Epoch 159 | train_loss=1.50047 train_acc=77.36% | val_loss=1.58547 val_acc=74.51%
Epoch 160 | train_loss=1.48855 train_acc=77.95% | val_loss=1.57558 val_acc=74.94%
Epoch 161 | train_loss=1.48452 train_acc=77.97% | val_loss=1.56763 val_acc=75.02%
Epoch 162 | train_loss=1.46921 train_acc=78.64% | val_loss=1.54807 val_acc=75.60%
Epoch 163 | train_loss=1.44900 train_acc=79.18% | val_loss=1.55414 val_acc=75.17%
Epoch 164 | train_loss=1.44055 train_acc=79.54% | val_loss=1.56512 val_acc=75.29%
Epoch 165 | train_loss=1.42375 train_acc=80.09% | val_loss=1.54336 val_acc=75.86%
Epoch 166 | train_loss=1.42176 train_acc=80.06% | val_loss=1.56792 val_acc=75.03%
Epoch 167 | train_loss=1.39998 train_acc=80.83% | val_loss=1.54557 val_acc=75.93%
Epoch 168 | train_loss=1.39464 train_acc=81.16% | val_loss=1.53032 val_acc=76.29%
Epoch 169 | train_loss=1.37864 train_acc=81.82% | val_loss=1.50230 val_acc=77.53%
Epoch 170 | train_loss=1.36551 train_acc=82.10% | val_loss=1.55904 val_acc=75.84%
Epoch 171 | train_loss=1.35252 train_acc=82.55% | val_loss=1.51853 val_acc=77.16%
Epoch 172 | train_loss=1.34605 train_acc=82.77% | val_loss=1.50611 val_acc=77.04%
Epoch 173 | train_loss=1.33370 train_acc=83.08% | val_loss=1.52301 val_acc=76.89%
Epoch 174 | train_loss=1.32632 train_acc=83.48% | val_loss=1.51497 val_acc=77.04%
Epoch 175 | train_loss=1.30193 train_acc=84.45% | val_loss=1.50562 val_acc=77.79%
Epoch 176 | train_loss=1.29510 train_acc=84.33% | val_loss=1.49451 val_acc=77.75%
